"-- None of All --","-- None of All --"
"Allow get nofications or not.","Allow get nofications or not."
"CRM4Ecommerce Notification & Support Settings","CRM4Ecommerce Notification & Support Settings"
"Disabled","Disabled"
"Enabled","Enabled"
"Error %s: System can't post data to url %s.","Error %s: System can't post data to url %s."
"Expired","Expired"
"Support","Support"
"None","None"
"Notifications","Notifications"
"Notifications & Support","Notifications & Support"
"Get Notifications","Get Notifications"
"Template Custom","Template Custom"
"Template Default","Template Default"
