"#%s. ","#%s. "
"--Select an option--","--Select an option--"
"+ Load a List Objects","+ Load a List Objects"
"+ Load only an Object","+ Load only an Object"
"+ Search Condition","+ Search Condition"
"<b>Attention:</b> If condition fields are time fields, we can use value fields with format is <b>\"{{number}} minute(s) ago\"</b> compare with current datetime when system run loading data from ZohoCRM.<br/>Otherwise, the used datetime format is <b>\"{{Year}}-{{month}}-{{day}} {{Hour}}:{{minute}}:{{second}}\"</b>.","<b>Attention:</b> If condition fields are time fields, we can use value fields with format is <b>\"{{number}} minute(s) ago\"</b> compare with current datetime when system run loading data from ZohoCRM.<br/>Otherwise, the used datetime format is <b>\"{{Year}}-{{month}}-{{day}} {{Hour}}:{{minute}}:{{second}}\"</b>."
"<b>Attention:</b> System changed order status of this comment automatically from %s to %s, because in fact %s is current order status of this comment.","<b>Attention:</b> System changed order status of this comment automatically from %s to %s, because in fact %s is current order status of this comment."
"<b>Attention:</b> System changed order status of this comment automatically from %s to %s, because %s is current status of Sales Order %s.","<b>Attention:</b> System changed order status of this comment automatically from %s to %s, because %s is current status of Sales Order %s."
"<b>Notice that:</b> Credit Memo's Comment can be synchronized two ways between Magento Store and Zoho Task. The important requirement to synchronize Zoho Task into Credit Memo's Comment is we need create Zoho Task subject exactly with the below format.","<b>Notice that:</b> Credit Memo's Comment can be synchronized two ways between Magento Store and Zoho Task. The important requirement to synchronize Zoho Task into Credit Memo's Comment is we need create Zoho Task subject exactly with the below format."
"<b>Notice that:</b> Each Customer's Address will be an Account's Contact. The Customer Information Fields are only applied for Zoho Contact that is Customer Billing Address.","<b>Notice that:</b> Each Customer's Address will be an Account's Contact. The Customer Information Fields are only applied for Zoho Contact that is Customer Billing Address."
"<b>Notice that:</b> Each time Catalog Price Rule is created, a Zoho Campaign will be created in Zoho CRM. This synchronization is two ways between Magento Store and Zoho CRM (without conditions field).","<b>Notice that:</b> Each time Catalog Price Rule is created, a Zoho Campaign will be created in Zoho CRM. This synchronization is two ways between Magento Store and Zoho CRM (without conditions field)."
"<b>Notice that:</b> Each time Credit Memo is created, a Zoho Event will be created in Zoho CRM. This synchronization is one way and only once from Magento Store into Zoho CRM for each Credit Memo.","<b>Notice that:</b> Each time Credit Memo is created, a Zoho Event will be created in Zoho CRM. This synchronization is one way and only once from Magento Store into Zoho CRM for each Credit Memo."
